start_station_name,total_trips,start_lat,start_lng,postalCode,geometry,zip_code,HVI_Score
1 Ave & E 110 St,2537,40.7923272,-73.9383,10029,POINT (-73.9383 40.7923272),10029,4.0
1 Ave & E 118 St,1948,40.797459,-73.934499,10035,POINT (-73.934499 40.797459),10035,5.0
1 Ave & E 16 St,6733,40.73221853,-73.98165557,10009,POINT (-73.98165557 40.73221853),10009,2.0
1 Ave & E 18 St,7335,40.733812191966315,-73.98054420948029,10009,POINT (-73.98054420948029 40.733812191966315),10009,2.0
1 Ave & E 30 St,5151,40.74144387,-73.97536082,10016,POINT (-73.97536082 40.74144387),10016,2.0
1 Ave & E 38 St,8764,40.746202,-73.971822,10016,POINT (-73.971822 40.746202),10016,2.0
1 Ave & E 39 St,2426,40.74714,-73.97113,10016,POINT (-73.97113 40.74714),10016,2.0
1 Ave & E 6 St,7124,40.72633085971696,-73.98616880178452,10003,POINT (-73.98616880178452 40.72633085971696),10003,2.0
1 Ave & E 62 St,7389,40.7612274,-73.96094022,10065,POINT (-73.96094022 40.7612274),10065,1.0
1 Ave & E 68 St,9865,40.76500525,-73.95818491,10065,POINT (-73.95818491 40.76500525),10065,1.0
1 Ave & E 94 St,2399,40.7817212,-73.94594,10128,POINT (-73.94594 40.7817212),10128,1.0
1 Pl & Clinton St,1999,40.6809591,-73.99905709,11231,POINT (-73.99905709 40.6809591),11231,2.0
1 St & 6 Ave,1803,40.672784,-73.979826,11215,POINT (-73.979826 40.672784),11215,1.0
10 Ave & W 14 St,11108,40.741981599940225,-74.00831580162048,10014,POINT (-74.00831580162048 40.741981599940225),10014,1.0
10 Ave & W 202 St,254,40.861281970750994,-73.921417593956,10034,POINT (-73.921417593956 40.861281970750994),10034,1.0
10 Ave & W 204 St,165,40.862638,-73.92006,10034,POINT (-73.92006 40.862638),10034,1.0
10 Ave & W 207 St,485,40.864632,-73.918598,10034,POINT (-73.918598 40.864632),10034,1.0
10 Ave & W 215 St,238,40.86932465640094,-73.91519755125046,10034,POINT (-73.91519755125046 40.86932465640094),10034,1.0
10 Ave & W 28 St,7301,40.75066386,-74.00176802,10001,POINT (-74.00176802 40.75066386),10001,2.0
10 St & 2 Ave,1446,40.671907,-73.993612,11215,POINT (-73.993612 40.671907),11215,1.0
10 St & 4 Ave,2259,40.66967356370341,-73.98898908183764,11215,POINT (-73.98898908183764 40.66967356370341),11215,1.0
10 St & 5 Ave,2032,40.6686273,-73.98700053,11215,POINT (-73.98700053 40.6686273),11215,1.0
10 St & 7 Ave,3639,40.6662078,-73.98199886,11215,POINT (-73.98199886 40.6662078),11215,1.0
100 St & 37 Ave,196,40.75243,-73.86717,11368,POINT (-73.86717 40.75243),11368,4.0
100 St & Humphreys St,91,40.76574,-73.87012,11369,POINT (-73.87012 40.76574),11369,4.0
100 St & Lewis Ave,168,40.73988,-73.86012,11368,POINT (-73.86012 40.73988),11368,4.0
100 St & Northern Blvd,199,40.75748,-73.86843,11369,POINT (-73.86843 40.75748),11369,4.0
102 St & 34 Ave,273,40.75584,-73.86621,11368,POINT (-73.86621 40.75584),11368,4.0
103 St & 41 Ave,280,40.74875,-73.86285,11368,POINT (-73.86285 40.74875),11368,4.0
103 St & Martense Ave,293,40.74046,-73.8565,11368,POINT (-73.8565 40.74046),11368,4.0
104 St & 32 Ave,302,40.75951,-73.86491,11369,POINT (-73.86491 40.75951),11369,4.0
104 St & 38 Ave,276,40.75138,-73.86242,11368,POINT (-73.86242 40.75138),11368,4.0
104 St & Northern Blvd,252,40.75755,-73.86454,11368,POINT (-73.86454 40.75755),11368,4.0
107 St & 32 Ave,146,40.75996,-73.86224,11369,POINT (-73.86224 40.75996),11369,4.0
108 St & 39 Ave,248,40.75165,-73.85915,11368,POINT (-73.85915 40.75165),11368,4.0
11 Ave & Prospect Ave,1389,40.65629,-73.977335,11215,POINT (-73.977335 40.65629),11215,1.0
11 Ave & W 27 St,8285,40.751396,-74.005226,10001,POINT (-74.005226 40.751396),10001,2.0
11 Ave & W 41 St,13918,40.76030096,-73.99884222,10036,POINT (-73.99884222 40.76030096),10036,2.0
11 Ave & W 59 St,6225,40.77149671054441,-73.99046033620834,10019,POINT (-73.99046033620834 40.77149671054441),10019,2.0
11 St & 43 Ave,454,40.7519071,-73.9479119,11101,POINT (-73.9479119 40.7519071),11101,4.0
11 St & 44 Rd,1274,40.749207,-73.949373,11101,POINT (-73.949373 40.749207),11101,4.0
111 St & 37 Ave,184,40.75397,-73.85748,11368,POINT (-73.85748 40.75397),11368,4.0
111 St & 49 Ave,581,40.74612,-73.85272,11368,POINT (-73.85272 40.74612),11368,4.0
111 St & 53 Ave,298,40.74336,-73.85129,11368,POINT (-73.85129 40.74336),11368,4.0
111 St & Roosevelt Ave,159,40.75147,-73.8557,11368,POINT (-73.8557 40.75147),11368,4.0
112 St & Northern Blvd,214,40.75788,-73.85763,11368,POINT (-73.85763 40.75788),11368,4.0
114 St & 39 Ave,186,40.7532,-73.853,11368,POINT (-73.853 40.7532),11368,4.0
12 Ave & 36 St,466,40.643546,-73.986418,11218,POINT (-73.986418 40.643546),11218,3.0
12 Ave & W 125 St,2357,40.818299,-73.960405,10027,POINT (-73.960405 40.818299),10027,4.0
12 Ave & W 40 St,12527,40.76087502,-74.00277668,10019,POINT (-74.00277668 40.76087502),10019,2.0
12 St & 4 Ave,1202,40.668603,-73.9904394,11215,POINT (-73.9904394 40.668603),11215,1.0
14 St & 5 Ave,3066,40.666287,-73.98895053,11215,POINT (-73.98895053 40.666287),11215,1.0
14 St & 7 Ave,3013,40.663779,-73.98396846,11215,POINT (-73.98396846 40.663779),11215,1.0
16 St & 4 Ave,1105,40.666197,-73.992466,11215,POINT (-73.992466 40.666197),11215,1.0
17 St & 5 Ave,1874,40.663493,-73.991007,11215,POINT (-73.991007 40.663493),11215,1.0
18 St & 27 Ave,1447,40.772768286288304,-73.92743647098541,11102,POINT (-73.92743647098541 40.772768286288304),11102,3.0
19 St & 24 Ave,1563,40.7774552,-73.9225403,11105,POINT (-73.9225403 40.7774552),11105,3.0
19 St & 8 Ave,368,40.658489,-73.985543,11215,POINT (-73.985543 40.658489),11215,1.0
2 Ave & 32 St,140,40.659176,-74.006584,11232,POINT (-74.006584 40.659176),11232,4.0
2 Ave & 36 St,469,40.65708866668485,-74.00870203971863,11232,POINT (-74.00870203971863 40.65708866668485),11232,4.0
2 Ave & 37 St,415,40.65624,-74.00933,11232,POINT (-74.00933 40.65624),11232,4.0
2 Ave & E 122 St,977,40.8006721,-73.9349,10035,POINT (-73.9349 40.8006721),10035,5.0
2 Ave & E 125 St,1525,40.802554,-73.933509,10035,POINT (-73.933509 40.802554),10035,5.0
